benchmark,experiment,num_dpus,num_tasklets,data_prep_params,dpu_build_options_json,setting_id,instructions_lower,instructions_upper,instructions_midpoint,exact,instruction_scope,unexpanded_callees,result_path
TRNS,dpu_sweep,1,16,128,"{""BL"":8}",dpu_sweep_TRNS_dpu1_tasklets16_size128,294250,1193948,744099,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TRNS_dpu1_tasklets16_size128/result.json
TRNS,dpu_sweep,4,16,128,"{""BL"":8}",dpu_sweep_TRNS_dpu4_tasklets16_size128,2479776,16348608,9414192,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TRNS_dpu4_tasklets16_size128/result.json
TRNS,dpu_sweep,16,16,128,"{""BL"":8}",dpu_sweep_TRNS_dpu16_tasklets16_size128,619944,4087152,2353548,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TRNS_dpu16_tasklets16_size128/result.json
TRNS,dpu_sweep,64,16,128,"{""BL"":8}",dpu_sweep_TRNS_dpu64_tasklets16_size128,154986,1021788,588387,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TRNS_dpu64_tasklets16_size128/result.json
TRNS,tasklet_sweep,1,1,1024,"{""BL"":8}",tasklet_sweep_TRNS_dpu1_tasklets1_size1024,2333864,9457687,5895775.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TRNS_dpu1_tasklets1_size1024/result.json
TRNS,tasklet_sweep,1,2,1024,"{""BL"":8}",tasklet_sweep_TRNS_dpu1_tasklets2_size1024,2334022,9459142,5896582,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TRNS_dpu1_tasklets2_size1024/result.json
TRNS,tasklet_sweep,1,4,1024,"{""BL"":8}",tasklet_sweep_TRNS_dpu1_tasklets4_size1024,2334338,9460608,5897473,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TRNS_dpu1_tasklets4_size1024/result.json
TRNS,tasklet_sweep,1,8,1024,"{""BL"":8}",tasklet_sweep_TRNS_dpu1_tasklets8_size1024,2334970,9463540,5899255,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TRNS_dpu1_tasklets8_size1024/result.json
TRNS,tasklet_sweep,1,16,1024,"{""BL"":8}",tasklet_sweep_TRNS_dpu1_tasklets16_size1024,2336234,9469404,5902819,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TRNS_dpu1_tasklets16_size1024/result.json
