experiment,benchmark,num_dpus_configured,num_dpus_observed,num_tasklets,data_prep_params,instructions_mean,cycles_max,breakdown_run_sum,breakdown_dma_sum,breakdown_etc_sum,backpressure_sum,num_reads_sum,num_writes_sum,read_bytes_sum,write_bytes_sum
dpu_sweep,TS,1,1,16,65536,115245717.0,172566267.0,115245717.0,3557.0,6187.0,57310806.0,163680.0,0.0,1309440.0,0.0
dpu_sweep,TS,4,4,16,65536,28741516.75,43046226.0,114966067.0,14425.0,40159.0,57164253.0,163200.0,0.0,1305600.0,0.0
dpu_sweep,TS,16,16,16,65536,7114245.75,10664600.0,113827932.0,57449.0,202574.0,56545645.0,161280.0,0.0,1290240.0,0.0
dpu_sweep,TS,64,64,16,65536,1707749.828125,2562527.0,109295989.0,211411.0,717989.0,53776339.0,153600.0,0.0,1228800.0,0.0
tasklet_sweep,TS,1,1,1,2048,3493298.0,38456407.0,3493298.0,30115.0,34932994.0,0.0,4960.0,0.0,39680.0,0.0
tasklet_sweep,TS,1,1,2,2048,3493364.0,19846171.0,3493364.0,27772.0,15986705.0,338330.0,4960.0,0.0,39680.0,0.0
tasklet_sweep,TS,1,1,4,2048,3494397.0,9928772.0,3494397.0,22331.0,6080852.0,331192.0,4960.0,0.0,39680.0,0.0
tasklet_sweep,TS,1,1,8,2048,3497980.0,5575499.0,3497980.0,10454.0,487969.0,1579096.0,4960.0,0.0,39680.0,0.0
tasklet_sweep,TS,1,1,16,2048,3511249.0,5266553.0,3511249.0,3332.0,1730.0,1750242.0,4960.0,0.0,39680.0,0.0
