experiment,num_dpus,num_tasklets,total_elements,logical_elements_per_dpu,elements_per_dpu,element_size_bytes,block_size_bytes,blocks_per_dpu,max_blocks_per_tasklet,memory_model_source,static_kernel_functions,memory_read_bytes_lower_per_dpu,memory_read_bytes_upper_per_dpu,memory_write_bytes_lower_per_dpu,memory_write_bytes_upper_per_dpu,memory_read_transactions_lower_per_dpu,memory_read_transactions_upper_per_dpu,memory_write_transactions_lower_per_dpu,memory_write_transactions_upper_per_dpu,observed_row_reads_per_dpu,observed_row_writes_per_dpu,memory_transactions_lower_per_dpu,memory_transactions_upper_per_dpu,measured_instructions_per_dpu,actual_cycles,memory_model_lower_cycles,memory_model_upper_cycles,ideal_compute_cycles,observed_compute_component_cycles,observed_dma_component_cycles,actual_within_overlap_bounds,actual_interval_position,compute_stall_rate,compute_conservative_cycles,ideal_compute_hidden_memory_cycles,conservative_compute_hidden_memory_cycles,ideal_compute_no_hidden_memory_cycles,conservative_compute_no_hidden_memory_cycles
dpu_sweep,1,16,2097152,2097152,2097152,8,1024,16384,1024,static_analyzer,task.c::main_kernel1,16777216.0,16777216.0,0.0,0.0,16384.0,16384.0,0.0,0.0,2097152.0,0.0,16384.0,16384.0,10882736.0,16470902.0,9650176.0,9650176.0,10882736.0,16468796.0,2106.0,True,0.5790739982358871,0.1,12091928.888888888,10882736.0,12091928.888888888,20532912.0,21742104.888888888
dpu_sweep,4,16,2097152,524288,524288,8,1024,4096,256,static_analyzer,task.c::main_kernel1,4194304.0,4194304.0,0.0,0.0,4096.0,4096.0,0.0,0.0,524288.0,0.0,4096.0,4096.0,2723504.0,4162934.0,2412544.0,2412544.0,2723504.0,4160828.0,2106.0,True,0.5966440404817487,0.1,3026115.5555555555,2723504.0,3026115.5555555555,5136048.0,5438659.555555556
dpu_sweep,16,16,2097152,131072,131072,8,1024,1024,64,static_analyzer,task.c::main_kernel1,1048576.0,1048576.0,0.0,0.0,1024.0,1024.0,0.0,0.0,131072.0,0.0,1024.0,1024.0,683696.0,1053600.0,603136.0,603136.0,683696.0,1051494.0,2106.0,True,0.6133011460101867,0.1,759662.2222222222,683696.0,759662.2222222222,1286832.0,1362798.2222222222
dpu_sweep,64,16,2097152,32768,32768,8,1024,256,16,static_analyzer,task.c::main_kernel1,262144.0,262144.0,0.0,0.0,256.0,256.0,0.0,0.0,32768.0,0.0,256.0,256.0,173744.0,269737.0,150784.0,150784.0,173744.0,267631.0,2106.0,True,0.6366259019524618,0.1,193048.88888888888,173744.0,193048.88888888888,324528.0,343832.8888888889
tasklet_sweep,1,1,524288,524288,524288,8,1024,4096,4096,static_analyzer,task.c::main_kernel1,4194304.0,4194304.0,0.0,0.0,4096.0,4096.0,0.0,0.0,524288.0,0.0,4096.0,4096.0,2723943.0,32924801.0,2412544.0,2412544.0,29963373.0,29963387.0,2961414.0,False,1.2275125344864177,0.1,33292636.666666664,29963373.0,33292636.666666664,32375917.0,35705180.666666664
tasklet_sweep,1,2,524288,524288,524288,8,1024,4096,2048,static_analyzer,task.c::main_kernel1,4194304.0,4194304.0,0.0,0.0,4096.0,4096.0,0.0,0.0,524288.0,0.0,4096.0,4096.0,2719970.0,16463894.0,2412544.0,2412544.0,14959835.0,13740004.0,2723890.0,True,0.6234327746975806,0.1,16622038.888888888,14959835.0,16622038.888888888,17372379.0,19034582.888888888
tasklet_sweep,1,4,524288,524288,524288,8,1024,4096,1024,static_analyzer,task.c::main_kernel1,4194304.0,4194304.0,0.0,0.0,4096.0,4096.0,0.0,0.0,524288.0,0.0,4096.0,4096.0,2720273.0,8236892.0,2412544.0,2412544.0,7480750.75,6246700.0,1990192.0,True,0.3134207085964028,0.1,8311945.277777778,7480750.75,8311945.277777778,9893294.75,10724489.277777778
tasklet_sweep,1,8,524288,524288,524288,8,1024,4096,512,static_analyzer,task.c::main_kernel1,4194304.0,4194304.0,0.0,0.0,4096.0,4096.0,0.0,0.0,524288.0,0.0,4096.0,4096.0,2721079.0,4487098.0,2412544.0,2412544.0,3741483.625,4146129.0,340969.0,True,0.30905731667484615,0.1,4157204.0277777775,3741483.625,4157204.0277777775,6154027.625,6569748.027777778
tasklet_sweep,1,16,524288,524288,524288,8,1024,4096,256,static_analyzer,task.c::main_kernel1,4194304.0,4194304.0,0.0,0.0,4096.0,4096.0,0.0,0.0,524288.0,0.0,4096.0,4096.0,2723504.0,4162934.0,2412544.0,2412544.0,2723504.0,4160828.0,2106.0,True,0.5966440404817487,0.1,3026115.5555555555,2723504.0,3026115.5555555555,5136048.0,5438659.555555556
