benchmark,experiment,num_dpus,num_tasklets,data_prep_params,dpu_build_options_json,setting_id,instructions_lower,instructions_upper,instructions_midpoint,exact,instruction_scope,unexpanded_callees,result_path,machine_cfg_validation_status,analysis_wall_seconds
BS,dpu_sweep,1,16,131072,"{""BL"":8}",dpu_sweep_BS_dpu1_tasklets16_size131072,673500,78971287,39822393.5,False,maximum_per_dpu_sum_of_sequential_executions,,dpu_sweep_BS_dpu1_tasklets16_size131072/result.json,match,6.157431
BS,dpu_sweep,4,16,131072,"{""BL"":8}",dpu_sweep_BS_dpu4_tasklets16_size131072,169692,19755415,9962553.5,False,maximum_per_dpu_sum_of_sequential_executions,,dpu_sweep_BS_dpu4_tasklets16_size131072/result.json,match,6.223128
BS,dpu_sweep,16,16,131072,"{""BL"":8}",dpu_sweep_BS_dpu16_tasklets16_size131072,43740,4951447,2497593.5,False,maximum_per_dpu_sum_of_sequential_executions,,dpu_sweep_BS_dpu16_tasklets16_size131072/result.json,match,6.105176
BS,tasklet_sweep,1,1,32768,"{""BL"":8}",tasklet_sweep_BS_dpu1_tasklets1_size32768,155748,17186967,8671357.5,False,maximum_per_dpu_sum_of_sequential_executions,,tasklet_sweep_BS_dpu1_tasklets1_size32768/result.json,match,1.06486
BS,tasklet_sweep,1,2,32768,"{""BL"":8}",tasklet_sweep_BS_dpu1_tasklets2_size32768,168146,17199537,8683841.5,False,maximum_per_dpu_sum_of_sequential_executions,,tasklet_sweep_BS_dpu1_tasklets2_size32768/result.json,match,1.364569
BS,tasklet_sweep,1,4,32768,"{""BL"":8}",tasklet_sweep_BS_dpu1_tasklets4_size32768,168360,17200451,8684405.5,False,maximum_per_dpu_sum_of_sequential_executions,,tasklet_sweep_BS_dpu1_tasklets4_size32768/result.json,match,2.105309
BS,tasklet_sweep,1,8,32768,"{""BL"":8}",tasklet_sweep_BS_dpu1_tasklets8_size32768,168788,17203695,8686241.5,False,maximum_per_dpu_sum_of_sequential_executions,,tasklet_sweep_BS_dpu1_tasklets8_size32768/result.json,match,3.447658
BS,tasklet_sweep,1,16,32768,"{""BL"":8}",tasklet_sweep_BS_dpu1_tasklets16_size32768,169692,17215895,8692793.5,False,maximum_per_dpu_sum_of_sequential_executions,,tasklet_sweep_BS_dpu1_tasklets16_size32768/result.json,match,6.197947
