experiment,num_dpus,num_tasklets,total_elements,logical_elements_per_dpu,elements_per_dpu,element_size_bytes,block_size_bytes,blocks_per_dpu,max_blocks_per_tasklet,memory_model_source,static_kernel_functions,memory_read_bytes_lower_per_dpu,memory_read_bytes_upper_per_dpu,memory_write_bytes_lower_per_dpu,memory_write_bytes_upper_per_dpu,memory_read_transactions_lower_per_dpu,memory_read_transactions_upper_per_dpu,memory_write_transactions_lower_per_dpu,memory_write_transactions_upper_per_dpu,observed_row_reads_per_dpu,observed_row_writes_per_dpu,memory_transactions_lower_per_dpu,memory_transactions_upper_per_dpu,measured_instructions_per_dpu,actual_cycles,memory_model_lower_cycles,memory_model_upper_cycles,ideal_compute_cycles,observed_compute_component_cycles,observed_dma_component_cycles,actual_within_overlap_bounds,actual_interval_position,compute_stall_rate,compute_conservative_cycles,ideal_compute_hidden_memory_cycles,conservative_compute_hidden_memory_cycles,ideal_compute_no_hidden_memory_cycles,conservative_compute_no_hidden_memory_cycles
dpu_sweep,1,16,1048576,1048576,1048576,8,1024,8192,512,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,16777216.0,16777216.0,8388608.0,8388608.0,16384.0,16384.0,8192.0,8192.0,2097152.0,1048576.0,24576.0,24576.0,12386982.0,29819774.0,14344192.0,14344192.0,12386982.0,22904449.0,6915325.0,False,1.2493424144799758,0.1,13763313.333333332,14344192.0,14344192.0,26731174.0,28107505.333333332
dpu_sweep,4,16,1048576,262144,262144,8,1024,2048,128,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,4194304.0,4194304.0,2097152.0,2097152.0,4096.0,4096.0,2048.0,2048.0,524288.0,262144.0,6144.0,6144.0,3104550.0,7470110.0,3586048.0,3586048.0,3104550.0,5740321.0,1729789.0,False,1.2510869530205666,0.1,3449500.0,3586048.0,3586048.0,6690598.0,7035548.0
dpu_sweep,16,16,1048576,65536,65536,8,1024,512,32,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,1048576.0,1048576.0,524288.0,524288.0,1024.0,1024.0,512.0,512.0,131072.0,65536.0,1536.0,1536.0,783942.0,1882693.0,896512.0,896512.0,783942.0,1449288.0,433405.0,False,1.2579769931959253,0.1,871046.6666666666,896512.0,896512.0,1680454.0,1767558.6666666665
dpu_sweep,64,16,1048576,16384,16384,8,1024,128,8,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,262144.0,262144.0,131072.0,131072.0,256.0,256.0,128.0,128.0,32768.0,16384.0,384.0,384.0,203790.0,486038.0,224128.0,224128.0,203790.0,376729.0,109309.0,False,1.2851955444329948,0.1,226433.3333333333,224128.0,226433.3333333333,427918.0,450561.3333333333
tasklet_sweep,1,1,262144,262144,262144,8,1024,2048,2048,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,4194304.0,4194304.0,2097152.0,2097152.0,4096.0,4096.0,2048.0,2048.0,524288.0,262144.0,6144.0,6144.0,3000673.0,37498691.0,3586048.0,3586048.0,33007403.0,33007421.0,4491270.0,False,1.2524338770702457,0.1,36674892.222222224,33007403.0,36674892.222222224,36593451.0,40260940.222222224
tasklet_sweep,1,2,262144,262144,262144,8,1024,2048,1024,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,4194304.0,4194304.0,2097152.0,2097152.0,4096.0,4096.0,2048.0,2048.0,524288.0,262144.0,6144.0,6144.0,3051115.0,20388962.0,3586048.0,3586048.0,16781132.5,16130093.0,4258869.0,False,1.0060739566230013,0.1,18645702.777777776,16781132.5,18645702.777777776,20367180.5,22231750.777777776
tasklet_sweep,1,4,262144,262144,262144,8,1024,2048,512,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,4194304.0,4194304.0,2097152.0,2097152.0,4096.0,4096.0,2048.0,2048.0,524288.0,262144.0,6144.0,6144.0,3082044.0,11686142.0,3586048.0,3586048.0,8475621.0,8032949.0,3653193.0,True,0.895281100531839,0.1,9417356.666666666,8475621.0,9417356.666666666,12061669.0,13003404.666666666
tasklet_sweep,1,8,262144,262144,262144,8,1024,2048,256,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,4194304.0,4194304.0,2097152.0,2097152.0,4096.0,4096.0,2048.0,2048.0,524288.0,262144.0,6144.0,6144.0,3093110.0,8230019.0,3586048.0,3586048.0,4253026.25,6038165.0,2191854.0,False,1.1090182702518203,0.1,4725584.722222222,4253026.25,4725584.722222222,7839074.25,8311632.722222222
tasklet_sweep,1,16,262144,262144,262144,8,1024,2048,128,static_analyzer,task.c::main_kernel1;task.c::main_kernel2,4194304.0,4194304.0,2097152.0,2097152.0,4096.0,4096.0,2048.0,2048.0,524288.0,262144.0,6144.0,6144.0,3104550.0,7470110.0,3586048.0,3586048.0,3104550.0,5740321.0,1729789.0,False,1.2510869530205666,0.1,3449500.0,3586048.0,3586048.0,6690598.0,7035548.0
