experiment,benchmark,num_dpus,num_tasklets,data_prep_params,dpu_input_arguments_json,instructions_mean,cycles_max,breakdown_run_sum,breakdown_dma_sum,breakdown_etc_sum,backpressure_sum,num_reads_sum,num_writes_sum,read_bytes_sum,write_bytes_sum
dpu_sweep,VA,1,16,2097152,"[{""execution"":0,""dpu"":0,""data_hex"":""000080000000800000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",14891068.0,17936873.0,14891068.0,2879373.0,6879.0,159553.0,2097152.0,1048576.0,16777216.0,8388608.0
dpu_sweep,VA,4,16,2097152,"[{""execution"":0,""dpu"":0,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""}]",3727420.0,4506089.0,14909680.0,2927156.0,27516.0,160004.0,2097152.0,1048576.0,16777216.0,8388608.0
dpu_sweep,VA,16,16,2097152,"[{""execution"":0,""dpu"":0,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""},{""execution"":0,""dpu"":4,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_4.bin""},{""execution"":0,""dpu"":5,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_5.bin""},{""execution"":0,""dpu"":6,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_6.bin""},{""execution"":0,""dpu"":7,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_7.bin""},{""execution"":0,""dpu"":8,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_8.bin""},{""execution"":0,""dpu"":9,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_9.bin""},{""execution"":0,""dpu"":10,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_10.bin""},{""execution"":0,""dpu"":11,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_11.bin""},{""execution"":0,""dpu"":12,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_12.bin""},{""execution"":0,""dpu"":13,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_13.bin""},{""execution"":0,""dpu"":14,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_14.bin""},{""execution"":0,""dpu"":15,""data_hex"":""000008000000080000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_15.bin""}]",936508.0,1148393.0,14984128.0,3118288.0,110064.0,161808.0,2097152.0,1048576.0,16777216.0,8388608.0
dpu_sweep,VA,64,16,2097152,"[{""execution"":0,""dpu"":0,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""},{""execution"":0,""dpu"":4,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_4.bin""},{""execution"":0,""dpu"":5,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_5.bin""},{""execution"":0,""dpu"":6,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_6.bin""},{""execution"":0,""dpu"":7,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_7.bin""},{""execution"":0,""dpu"":8,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_8.bin""},{""execution"":0,""dpu"":9,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_9.bin""},{""execution"":0,""dpu"":10,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_10.bin""},{""execution"":0,""dpu"":11,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_11.bin""},{""execution"":0,""dpu"":12,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_12.bin""},{""execution"":0,""dpu"":13,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_13.bin""},{""execution"":0,""dpu"":14,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_14.bin""},{""execution"":0,""dpu"":15,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_15.bin""},{""execution"":0,""dpu"":16,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_16.bin""},{""execution"":0,""dpu"":17,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_17.bin""},{""execution"":0,""dpu"":18,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_18.bin""},{""execution"":0,""dpu"":19,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_19.bin""},{""execution"":0,""dpu"":20,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_20.bin""},{""execution"":0,""dpu"":21,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_21.bin""},{""execution"":0,""dpu"":22,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_22.bin""},{""execution"":0,""dpu"":23,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_23.bin""},{""execution"":0,""dpu"":24,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_24.bin""},{""execution"":0,""dpu"":25,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_25.bin""},{""execution"":0,""dpu"":26,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_26.bin""},{""execution"":0,""dpu"":27,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_27.bin""},{""execution"":0,""dpu"":28,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_28.bin""},{""execution"":0,""dpu"":29,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_29.bin""},{""execution"":0,""dpu"":30,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_30.bin""},{""execution"":0,""dpu"":31,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_31.bin""},{""execution"":0,""dpu"":32,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_32.bin""},{""execution"":0,""dpu"":33,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_33.bin""},{""execution"":0,""dpu"":34,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_34.bin""},{""execution"":0,""dpu"":35,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_35.bin""},{""execution"":0,""dpu"":36,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_36.bin""},{""execution"":0,""dpu"":37,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_37.bin""},{""execution"":0,""dpu"":38,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_38.bin""},{""execution"":0,""dpu"":39,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_39.bin""},{""execution"":0,""dpu"":40,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_40.bin""},{""execution"":0,""dpu"":41,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_41.bin""},{""execution"":0,""dpu"":42,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_42.bin""},{""execution"":0,""dpu"":43,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_43.bin""},{""execution"":0,""dpu"":44,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_44.bin""},{""execution"":0,""dpu"":45,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_45.bin""},{""execution"":0,""dpu"":46,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_46.bin""},{""execution"":0,""dpu"":47,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_47.bin""},{""execution"":0,""dpu"":48,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_48.bin""},{""execution"":0,""dpu"":49,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_49.bin""},{""execution"":0,""dpu"":50,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_50.bin""},{""execution"":0,""dpu"":51,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_51.bin""},{""execution"":0,""dpu"":52,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_52.bin""},{""execution"":0,""dpu"":53,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_53.bin""},{""execution"":0,""dpu"":54,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_54.bin""},{""execution"":0,""dpu"":55,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_55.bin""},{""execution"":0,""dpu"":56,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_56.bin""},{""execution"":0,""dpu"":57,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_57.bin""},{""execution"":0,""dpu"":58,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_58.bin""},{""execution"":0,""dpu"":59,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_59.bin""},{""execution"":0,""dpu"":60,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_60.bin""},{""execution"":0,""dpu"":61,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_61.bin""},{""execution"":0,""dpu"":62,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_62.bin""},{""execution"":0,""dpu"":63,""data_hex"":""000002000000020000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_63.bin""}]",238780.0,308969.0,15281920.0,3882816.0,440256.0,169024.0,2097152.0,1048576.0,16777216.0,8388608.0
tasklet_sweep,VA,1,1,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3723370.0,45446295.0,3723370.0,4489211.0,37233714.0,0.0,524288.0,262144.0,4194304.0,2097152.0
tasklet_sweep,VA,1,2,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3721446.0,24001992.0,3721446.0,4304901.0,15975634.0,11.0,524288.0,262144.0,4194304.0,2097152.0
tasklet_sweep,VA,1,4,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3721833.0,12010618.0,3721833.0,3489728.0,4793224.0,5833.0,524288.0,262144.0,4194304.0,2097152.0
tasklet_sweep,VA,1,8,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3723071.0,6025139.0,3723071.0,1856203.0,429426.0,16439.0,524288.0,262144.0,4194304.0,2097152.0
tasklet_sweep,VA,1,16,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""000020000000200000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3727420.0,4506089.0,3727420.0,731789.0,6879.0,40001.0,524288.0,262144.0,4194304.0,2097152.0
