experiment,num_dpus,num_tasklets,total_elements,logical_elements_per_dpu,elements_per_dpu,element_size_bytes,block_size_bytes,blocks_per_dpu,max_blocks_per_tasklet,memory_model_source,static_kernel_functions,memory_read_bytes_lower_per_dpu,memory_read_bytes_upper_per_dpu,memory_write_bytes_lower_per_dpu,memory_write_bytes_upper_per_dpu,memory_read_transactions_lower_per_dpu,memory_read_transactions_upper_per_dpu,memory_write_transactions_lower_per_dpu,memory_write_transactions_upper_per_dpu,observed_row_reads_per_dpu,observed_row_writes_per_dpu,memory_transactions_lower_per_dpu,memory_transactions_upper_per_dpu,measured_instructions_per_dpu,actual_cycles,memory_model_lower_cycles,memory_model_upper_cycles,ideal_compute_cycles,observed_compute_component_cycles,observed_dma_component_cycles,actual_within_overlap_bounds,actual_interval_position,compute_stall_rate,compute_conservative_cycles,ideal_compute_hidden_memory_cycles,conservative_compute_hidden_memory_cycles,ideal_compute_no_hidden_memory_cycles,conservative_compute_no_hidden_memory_cycles
dpu_sweep,1,16,524288,524288,524288,4,256,8192,512,static_analyzer,task.c::main_kernel1,2097152.0,2097152.0,1024.0,1024.0,8192.0,8192.0,1.0,1.0,262144.0,128.0,8193.0,8193.0,50763379.0,59703173.0,1679933.0,1679933.0,50763379.0,59699142.0,4031.0,False,5.321518179594067,0.1,56403754.44444444,50763379.0,56403754.44444444,52443312.0,58083687.44444444
dpu_sweep,4,16,524288,131072,131072,4,256,2048,128,static_analyzer,task.c::main_kernel1,524288.0,524288.0,1024.0,1024.0,2048.0,2048.0,1.0,1.0,65536.0,128.0,2049.0,2049.0,12690008.25,14932116.0,420413.0,420413.0,12690008.25,14928073.25,4042.75,False,5.333107563277063,0.1,14100009.166666666,12690008.25,14100009.166666666,13110421.25,14520422.166666666
dpu_sweep,16,16,524288,32768,32768,4,256,512,32,static_analyzer,task.c::main_kernel1,131072.0,131072.0,1024.0,1024.0,512.0,512.0,1.0,1.0,16384.0,128.0,513.0,513.0,3171849.0625,3739106.0,105533.0,105533.0,3171849.0625,3735028.1875,4077.8125,False,5.375161679285153,0.1,3524276.736111111,3171849.0625,3524276.736111111,3277382.0625,3629809.736111111
dpu_sweep,64,16,524288,8192,8192,4,256,128,8,static_analyzer,task.c::main_kernel1,32768.0,32768.0,1024.0,1024.0,128.0,128.0,1.0,1.0,4096.0,128.0,129.0,129.0,792360.890625,941007.0,26813.0,26813.0,792360.890625,936933.546875,4073.453125,False,5.543807458135979,0.1,880400.9895833333,792360.890625,880400.9895833333,819173.890625,907213.9895833333
tasklet_sweep,1,1,131072,131072,131072,4,256,2048,2048,static_analyzer,task.c::main_kernel1,524288.0,524288.0,1024.0,1024.0,2048.0,2048.0,1.0,1.0,65536.0,128.0,2049.0,2049.0,3935923.0,43666072.0,420413.0,420413.0,43295153.0,43295167.0,370905.0,True,0.8822729078311089,0.1,48105725.55555555,43295153.0,48105725.55555555,43715566.0,48526138.55555555
tasklet_sweep,1,2,131072,131072,131072,4,256,2048,1024,static_analyzer,task.c::main_kernel1,524288.0,524288.0,1024.0,1024.0,2048.0,2048.0,1.0,1.0,65536.0,128.0,2049.0,2049.0,3938006.0,21849445.0,420413.0,420413.0,21659033.0,21507183.0,342262.0,True,0.452916536834018,0.1,24065592.22222222,21659033.0,24065592.22222222,22079446.0,24486005.22222222
tasklet_sweep,1,4,131072,131072,131072,4,256,2048,512,static_analyzer,task.c::main_kernel1,524288.0,524288.0,1024.0,1024.0,2048.0,2048.0,1.0,1.0,65536.0,128.0,2049.0,2049.0,3948903.0,10960483.0,420413.0,420413.0,10859483.25,10694220.0,266263.0,True,0.24023935986755882,0.1,12066092.5,10859483.25,12066092.5,11279896.25,12486505.5
tasklet_sweep,1,8,131072,131072,131072,4,256,2048,256,static_analyzer,task.c::main_kernel1,524288.0,524288.0,1024.0,1024.0,2048.0,2048.0,1.0,1.0,65536.0,128.0,2049.0,2049.0,6392593.0,9089067.0,420413.0,420413.0,8789815.375,9028861.0,60206.0,True,0.7118039285179097,0.1,9766461.527777778,8789815.375,9766461.527777778,9210228.375,10186874.527777778
tasklet_sweep,1,16,131072,131072,131072,4,256,2048,128,static_analyzer,task.c::main_kernel1,524288.0,524288.0,1024.0,1024.0,2048.0,2048.0,1.0,1.0,65536.0,128.0,2049.0,2049.0,12690206.0,14932025.0,420413.0,420413.0,12690206.0,14927946.0,4079.0,False,5.3324207386546085,0.1,14100228.888888888,12690206.0,14100228.888888888,13110619.0,14520641.888888888
