experiment,benchmark,num_dpus,num_tasklets,data_prep_params,dpu_input_arguments_json,instructions_mean,cycles_max,breakdown_run_sum,breakdown_dma_sum,breakdown_etc_sum,backpressure_sum,num_reads_sum,num_writes_sum,read_bytes_sum,write_bytes_sum
dpu_sweep,HST-L,1,16,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""00002000000020000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",50763379.0,59703173.0,50763379.0,4031.0,5009.0,8930754.0,262144.0,128.0,2097152.0,1024.0
dpu_sweep,HST-L,4,16,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""}]",12690008.25,14932116.0,50760033.0,16171.0,22752.0,8929508.0,262144.0,512.0,2097152.0,4096.0
dpu_sweep,HST-L,16,16,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""},{""execution"":0,""dpu"":4,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_4.bin""},{""execution"":0,""dpu"":5,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_5.bin""},{""execution"":0,""dpu"":6,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_6.bin""},{""execution"":0,""dpu"":7,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_7.bin""},{""execution"":0,""dpu"":8,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_8.bin""},{""execution"":0,""dpu"":9,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_9.bin""},{""execution"":0,""dpu"":10,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_10.bin""},{""execution"":0,""dpu"":11,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_11.bin""},{""execution"":0,""dpu"":12,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_12.bin""},{""execution"":0,""dpu"":13,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_13.bin""},{""execution"":0,""dpu"":14,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_14.bin""},{""execution"":0,""dpu"":15,""data_hex"":""00000200000002000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_15.bin""}]",3171849.0625,3739106.0,50749585.0,65245.0,84354.0,8926512.0,262144.0,2048.0,2097152.0,16384.0
dpu_sweep,HST-L,64,16,524288,"[{""execution"":0,""dpu"":0,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""},{""execution"":0,""dpu"":4,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_4.bin""},{""execution"":0,""dpu"":5,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_5.bin""},{""execution"":0,""dpu"":6,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_6.bin""},{""execution"":0,""dpu"":7,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_7.bin""},{""execution"":0,""dpu"":8,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_8.bin""},{""execution"":0,""dpu"":9,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_9.bin""},{""execution"":0,""dpu"":10,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_10.bin""},{""execution"":0,""dpu"":11,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_11.bin""},{""execution"":0,""dpu"":12,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_12.bin""},{""execution"":0,""dpu"":13,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_13.bin""},{""execution"":0,""dpu"":14,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_14.bin""},{""execution"":0,""dpu"":15,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_15.bin""},{""execution"":0,""dpu"":16,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_16.bin""},{""execution"":0,""dpu"":17,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_17.bin""},{""execution"":0,""dpu"":18,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_18.bin""},{""execution"":0,""dpu"":19,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_19.bin""},{""execution"":0,""dpu"":20,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_20.bin""},{""execution"":0,""dpu"":21,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_21.bin""},{""execution"":0,""dpu"":22,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_22.bin""},{""execution"":0,""dpu"":23,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_23.bin""},{""execution"":0,""dpu"":24,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_24.bin""},{""execution"":0,""dpu"":25,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_25.bin""},{""execution"":0,""dpu"":26,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_26.bin""},{""execution"":0,""dpu"":27,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_27.bin""},{""execution"":0,""dpu"":28,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_28.bin""},{""execution"":0,""dpu"":29,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_29.bin""},{""execution"":0,""dpu"":30,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_30.bin""},{""execution"":0,""dpu"":31,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_31.bin""},{""execution"":0,""dpu"":32,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_32.bin""},{""execution"":0,""dpu"":33,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_33.bin""},{""execution"":0,""dpu"":34,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_34.bin""},{""execution"":0,""dpu"":35,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_35.bin""},{""execution"":0,""dpu"":36,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_36.bin""},{""execution"":0,""dpu"":37,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_37.bin""},{""execution"":0,""dpu"":38,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_38.bin""},{""execution"":0,""dpu"":39,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_39.bin""},{""execution"":0,""dpu"":40,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_40.bin""},{""execution"":0,""dpu"":41,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_41.bin""},{""execution"":0,""dpu"":42,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_42.bin""},{""execution"":0,""dpu"":43,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_43.bin""},{""execution"":0,""dpu"":44,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_44.bin""},{""execution"":0,""dpu"":45,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_45.bin""},{""execution"":0,""dpu"":46,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_46.bin""},{""execution"":0,""dpu"":47,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_47.bin""},{""execution"":0,""dpu"":48,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_48.bin""},{""execution"":0,""dpu"":49,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_49.bin""},{""execution"":0,""dpu"":50,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_50.bin""},{""execution"":0,""dpu"":51,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_51.bin""},{""execution"":0,""dpu"":52,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_52.bin""},{""execution"":0,""dpu"":53,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_53.bin""},{""execution"":0,""dpu"":54,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_54.bin""},{""execution"":0,""dpu"":55,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_55.bin""},{""execution"":0,""dpu"":56,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_56.bin""},{""execution"":0,""dpu"":57,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_57.bin""},{""execution"":0,""dpu"":58,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_58.bin""},{""execution"":0,""dpu"":59,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_59.bin""},{""execution"":0,""dpu"":60,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_60.bin""},{""execution"":0,""dpu"":61,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_61.bin""},{""execution"":0,""dpu"":62,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_62.bin""},{""execution"":0,""dpu"":63,""data_hex"":""00800000008000000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_63.bin""}]",792360.890625,941007.0,50711097.0,260701.0,335584.0,8917066.0,262144.0,8192.0,2097152.0,65536.0
tasklet_sweep,HST-L,1,1,131072,"[{""execution"":0,""dpu"":0,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3935923.0,43666072.0,3935923.0,370905.0,39359244.0,0.0,65536.0,128.0,524288.0,1024.0
tasklet_sweep,HST-L,1,2,131072,"[{""execution"":0,""dpu"":0,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3938006.0,21849445.0,3938006.0,342262.0,17568905.0,272.0,65536.0,128.0,524288.0,1024.0
tasklet_sweep,HST-L,1,4,131072,"[{""execution"":0,""dpu"":0,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",3948903.0,10960483.0,3948903.0,266263.0,6524570.0,220747.0,65536.0,128.0,524288.0,1024.0
tasklet_sweep,HST-L,1,8,131072,"[{""execution"":0,""dpu"":0,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",6392593.0,9089067.0,6392593.0,60206.0,424288.0,2211980.0,65536.0,128.0,524288.0,1024.0
tasklet_sweep,HST-L,1,16,131072,"[{""execution"":0,""dpu"":0,""data_hex"":""00000800000008000001000000000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",12690206.0,14932025.0,12690206.0,4079.0,5011.0,2232729.0,65536.0,128.0,524288.0,1024.0
