benchmark,experiment,num_dpus_configured,num_tasklets,data_prep_params,setting_id,instructions_lower,instructions_upper,instructions_midpoint,exact,instruction_scope,unexpanded_callees,result_path
GEMV,dpu_sweep,1,16,4096,dpu_sweep_GEMV_dpu1_tasklets16_size4096,5146838,13337798,9242318,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,dpu_sweep_GEMV_dpu1_tasklets16_size4096/result.json
GEMV,dpu_sweep,4,16,4096,dpu_sweep_GEMV_dpu4_tasklets16_size4096,1288406,3336902,2312654,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,dpu_sweep_GEMV_dpu4_tasklets16_size4096/result.json
GEMV,dpu_sweep,16,16,4096,dpu_sweep_GEMV_dpu16_tasklets16_size4096,323798,836678,580238,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,dpu_sweep_GEMV_dpu16_tasklets16_size4096/result.json
GEMV,dpu_sweep,64,16,4096,dpu_sweep_GEMV_dpu64_tasklets16_size4096,82646,211622,147134,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,dpu_sweep_GEMV_dpu64_tasklets16_size4096/result.json
GEMV,tasklet_sweep,1,1,2048,tasklet_sweep_GEMV_dpu1_tasklets1_size2048,2572433,6667472,4619952.5,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,tasklet_sweep_GEMV_dpu1_tasklets1_size2048/result.json
GEMV,tasklet_sweep,1,2,2048,tasklet_sweep_GEMV_dpu1_tasklets2_size2048,2572576,6667678,4620127,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,tasklet_sweep_GEMV_dpu1_tasklets2_size2048/result.json
GEMV,tasklet_sweep,1,4,2048,tasklet_sweep_GEMV_dpu1_tasklets4_size2048,2572858,6668086,4620472,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,tasklet_sweep_GEMV_dpu1_tasklets4_size2048/result.json
GEMV,tasklet_sweep,1,8,2048,tasklet_sweep_GEMV_dpu1_tasklets8_size2048,2573422,6668902,4621162,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,tasklet_sweep_GEMV_dpu1_tasklets8_size2048/result.json
GEMV,tasklet_sweep,1,16,2048,tasklet_sweep_GEMV_dpu1_tasklets16_size2048,2574550,6670534,4622542,False,maximum_per_dpu_sum_of_sequential_executions,barrier_wait,tasklet_sweep_GEMV_dpu1_tasklets16_size2048/result.json
