benchmark,experiment,num_dpus,num_tasklets,data_prep_params,setting_id,instructions_lower,instructions_upper,instructions_midpoint,exact,instruction_scope,unexpanded_callees,result_path
RED,dpu_sweep,1,16,2097152,dpu_sweep_RED_dpu1_tasklets16_size2097152,10863221,10879833,10871527,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_RED_dpu1_tasklets16_size2097152/result.json
RED,dpu_sweep,4,16,2097152,dpu_sweep_RED_dpu4_tasklets16_size2097152,2716277,2720601,2718439,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_RED_dpu4_tasklets16_size2097152/result.json
RED,dpu_sweep,16,16,2097152,dpu_sweep_RED_dpu16_tasklets16_size2097152,679541,680793,680167,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_RED_dpu16_tasklets16_size2097152/result.json
RED,dpu_sweep,64,16,2097152,dpu_sweep_RED_dpu64_tasklets16_size2097152,170357,170841,170599,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_RED_dpu64_tasklets16_size2097152/result.json
RED,tasklet_sweep,1,1,524288,tasklet_sweep_RED_dpu1_tasklets1_size524288,2719790,2723902,2721846,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_RED_dpu1_tasklets1_size524288/result.json
RED,tasklet_sweep,1,2,524288,tasklet_sweep_RED_dpu1_tasklets2_size524288,2715731,2719859,2717795,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_RED_dpu1_tasklets2_size524288/result.json
RED,tasklet_sweep,1,4,524288,tasklet_sweep_RED_dpu1_tasklets4_size524288,2715809,2719965,2717887,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_RED_dpu1_tasklets4_size524288/result.json
RED,tasklet_sweep,1,8,524288,tasklet_sweep_RED_dpu1_tasklets8_size524288,2715965,2720177,2718071,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_RED_dpu1_tasklets8_size524288/result.json
RED,tasklet_sweep,1,16,524288,tasklet_sweep_RED_dpu1_tasklets16_size524288,2716277,2720601,2718439,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_RED_dpu1_tasklets16_size524288/result.json
