benchmark,experiment,num_dpus_configured,num_tasklets,data_prep_params,setting_id,instructions_lower,instructions_upper,instructions_midpoint,exact,instruction_scope,unexpanded_callees,result_path
UNI,dpu_sweep,1,16,2097152,dpu_sweep_UNI_dpu1_tasklets16_size2097152,7392053,16321578,11856815.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_UNI_dpu1_tasklets16_size2097152/result.json
UNI,dpu_sweep,4,16,2097152,dpu_sweep_UNI_dpu4_tasklets16_size2097152,1848629,4081194,2964911.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_UNI_dpu4_tasklets16_size2097152/result.json
UNI,dpu_sweep,16,16,2097152,dpu_sweep_UNI_dpu16_tasklets16_size2097152,462773,1021098,741935.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_UNI_dpu16_tasklets16_size2097152/result.json
UNI,dpu_sweep,64,16,2097152,dpu_sweep_UNI_dpu64_tasklets16_size2097152,116309,256074,186191.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_UNI_dpu64_tasklets16_size2097152/result.json
UNI,tasklet_sweep,1,1,524288,tasklet_sweep_UNI_dpu1_tasklets1_size524288,1871928,4030540,2951234,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_UNI_dpu1_tasklets1_size524288/result.json
UNI,tasklet_sweep,1,2,524288,tasklet_sweep_UNI_dpu1_tasklets2_size524288,1855595,4063374,2959484.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_UNI_dpu1_tasklets2_size524288/result.json
UNI,tasklet_sweep,1,4,524288,tasklet_sweep_UNI_dpu1_tasklets4_size524288,1861841,4094226,2978033.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_UNI_dpu1_tasklets4_size524288/result.json
UNI,tasklet_sweep,1,8,524288,tasklet_sweep_UNI_dpu1_tasklets8_size524288,1852829,4085274,2969051.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_UNI_dpu1_tasklets8_size524288/result.json
UNI,tasklet_sweep,1,16,524288,tasklet_sweep_UNI_dpu1_tasklets16_size524288,1848629,4081194,2964911.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_UNI_dpu1_tasklets16_size524288/result.json
