experiment,num_dpus,num_tasklets,total_elements,logical_elements_per_dpu,elements_per_dpu,element_size_bytes,block_size_bytes,blocks_per_dpu,max_blocks_per_tasklet,memory_model_source,static_kernel_functions,memory_read_bytes_lower_per_dpu,memory_read_bytes_upper_per_dpu,memory_write_bytes_lower_per_dpu,memory_write_bytes_upper_per_dpu,memory_read_transactions_lower_per_dpu,memory_read_transactions_upper_per_dpu,memory_write_transactions_lower_per_dpu,memory_write_transactions_upper_per_dpu,observed_row_reads_per_dpu,observed_row_writes_per_dpu,memory_transactions_lower_per_dpu,memory_transactions_upper_per_dpu,compute_instruction_source,compute_instruction_scope,compute_instructions_per_dpu,static_instructions_lower_per_dpu,static_instructions_upper_per_dpu,static_instructions_midpoint_per_dpu,instruction_unexpanded_callees,static_vs_simulator_instruction_midpoint_error_pct,simulator_instruction_mean_within_static_bounds,measured_instructions_per_dpu,actual_cycles,memory_model_lower_cycles,memory_model_upper_cycles,compute_issue_cycles_per_instruction,compute_cycles_lower,compute_cycles_upper,compute_cycles_conservative_upper,observed_compute_component_cycles,observed_dma_component_cycles,composed_cycles_lower,composed_cycles_upper,composed_lower_assumption,actual_within_composed_bounds,actual_composed_interval_position,compute_stall_rate
dpu_sweep,1,16,1024,1048576,1048576,4,1024,4096,256,static_analyzer,task.c::main,25264128.0,25264128.0,12288.0,12288.0,36864.0,36864.0,1536.0,1536.0,3145728.0,1536.0,38400.0,38400.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,102290308.5,38133492.0,166447125.0,102290308.5,,92.54699947211147,True,53124852.0,72842089.0,15570432.0,15570432.0,1.0,38133492.0,166447125.0,184941250.0,72803935.0,38154.0,38133492.0,200511682.0,maximal_compute_memory_overlap,True,0.21375159434897015,0.1
dpu_sweep,4,16,1024,262144,262144,4,1024,1024,64,static_analyzer,task.c::main,6316032.0,6316032.0,3072.0,3072.0,9216.0,9216.0,384.0,384.0,786432.0,384.0,9600.0,9600.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,25599940.5,9538548.0,41661333.0,25599940.5,,92.35689515412783,True,13308564.0,18266406.0,3892608.0,3892608.0,1.0,9538548.0,41661333.0,46290370.0,18228280.0,38126.0,9538548.0,50182978.0,maximal_compute_memory_overlap,True,0.21473687784525455,0.1
dpu_sweep,16,16,1024,65536,65536,4,1024,256,16,static_analyzer,task.c::main,1579008.0,1579008.0,768.0,768.0,2304.0,2304.0,96.0,96.0,196608.0,96.0,2400.0,2400.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,6427348.5,2389812.0,10464885.0,6427348.5,,91.57544450127511,True,3354996.0,4627051.0,973152.0,973152.0,1.0,2389812.0,10464885.0,11627650.0,4588520.0,38531.0,2389812.0,12600802.0,maximal_compute_memory_overlap,True,0.21910108618263263,0.1
dpu_sweep,64,16,1024,16384,16384,4,1024,64,4,static_analyzer,task.c::main,394752.0,394752.0,192.0,192.0,576.0,576.0,24.0,24.0,49152.0,24.0,600.0,600.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,1634560.5,602484.0,2666637.0,1634560.5,,88.65857121092506,True,866412.0,1361382.0,243288.0,243288.0,1.0,602484.0,2666637.0,2962930.0,1270866.0,90516.0,602484.0,3206218.0,maximal_compute_memory_overlap,True,0.2914652572036929,0.1
tasklet_sweep,1,1,256,65536,65536,4,1024,256,256,static_analyzer,task.c::main,1579008.0,1579008.0,3072.0,3072.0,2304.0,2304.0,384.0,384.0,196608.0,384.0,2688.0,2688.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,6820188.0,3766680.0,9873696.0,6820188.0,,80.94869688691921,True,3769128.0,42597262.0,991872.0,991872.0,11.0,41433480.0,108610656.0,120678506.66666666,41460430.0,1136832.0,42425352.0,121670378.66666666,single_tasklet_no_overlap,True,0.0021693474938574487,0.1
tasklet_sweep,1,2,256,65536,65536,4,1024,256,128,static_analyzer,task.c::main,1579008.0,1579008.0,3072.0,3072.0,2304.0,2304.0,384.0,384.0,196608.0,384.0,2688.0,2688.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,6820999.5,3767124.0,9874875.0,6820999.5,,80.93868748483004,True,3769785.0,21314968.0,991872.0,991872.0,5.5,20719182.0,54311812.5,60346458.33333333,20281072.0,1033896.0,20719182.0,61338330.33333333,maximal_compute_memory_overlap,True,0.014667614276665658,0.1
tasklet_sweep,1,4,256,65536,65536,4,1024,256,64,static_analyzer,task.c::main,1579008.0,1579008.0,3072.0,3072.0,2304.0,2304.0,384.0,384.0,196608.0,384.0,2688.0,2688.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,6823282.5,3767988.0,9878577.0,6823282.5,,80.89344086278065,True,3771990.0,10686595.0,991872.0,991872.0,2.75,10361967.0,27166086.75,30184540.833333332,9886756.0,799839.0,10361967.0,31176412.833333332,maximal_compute_memory_overlap,True,0.015596283590703332,0.1
tasklet_sweep,1,8,256,65536,65536,4,1024,256,32,static_analyzer,task.c::main,1579008.0,1579008.0,3072.0,3072.0,2304.0,2304.0,384.0,384.0,196608.0,384.0,2688.0,2688.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,6830584.5,3769716.0,9891453.0,6830584.5,,80.73312896097133,True,3779376.0,6149083.0,991872.0,991872.0,1.375,5183359.5,13600747.875,15111942.083333332,5964352.0,184731.0,5183359.5,16103814.083333332,maximal_compute_memory_overlap,True,0.0884325366339489,0.1
tasklet_sweep,1,16,256,65536,65536,4,1024,256,16,static_analyzer,task.c::main,1579008.0,1579008.0,3072.0,3072.0,2304.0,2304.0,384.0,384.0,196608.0,384.0,2688.0,2688.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,6856132.5,3773172.0,9939093.0,6856132.5,,80.1353747930953,True,3806100.0,5943778.0,991872.0,991872.0,1.0,3773172.0,9939093.0,11043436.666666666,5907310.0,36468.0,3773172.0,12035308.666666666,maximal_compute_memory_overlap,True,0.26271727127889843,0.1
