experiment,num_dpus,num_tasklets,total_elements,logical_elements_per_dpu,elements_per_dpu,element_size_bytes,block_size_bytes,blocks_per_dpu,max_blocks_per_tasklet,memory_model_source,static_kernel_functions,memory_read_bytes_lower_per_dpu,memory_read_bytes_upper_per_dpu,memory_write_bytes_lower_per_dpu,memory_write_bytes_upper_per_dpu,memory_read_transactions_lower_per_dpu,memory_read_transactions_upper_per_dpu,memory_write_transactions_lower_per_dpu,memory_write_transactions_upper_per_dpu,observed_row_reads_per_dpu,observed_row_writes_per_dpu,memory_transactions_lower_per_dpu,memory_transactions_upper_per_dpu,measured_instructions_per_dpu,actual_cycles,memory_model_lower_cycles,memory_model_upper_cycles,ideal_compute_cycles,observed_compute_component_cycles,observed_dma_component_cycles,actual_within_overlap_bounds,actual_interval_position,compute_stall_rate,compute_conservative_cycles,ideal_compute_hidden_memory_cycles,conservative_compute_hidden_memory_cycles,ideal_compute_no_hidden_memory_cycles,conservative_compute_no_hidden_memory_cycles
dpu_sweep,1,16,4096,4096,4096,4,1024,16,1,static_analyzer,task.c::main,8421376.0,8421376.0,16384.0,16384.0,12288.0,12288.0,2048.0,2048.0,1048576.0,2048.0,14336.0,14336.0,5962024.0,9766074.0,5289984.0,5289984.0,5962024.0,9753723.0,12351.0,True,0.7191042543795974,0.1,6624471.111111111,5962024.0,6624471.111111111,11252008.0,11914455.111111112
dpu_sweep,4,16,4096,1024,1024,4,1024,4,1,static_analyzer,task.c::main,2105344.0,2105344.0,4096.0,4096.0,3072.0,3072.0,512.0,512.0,262144.0,512.0,3584.0,3584.0,1492974.25,2451312.0,1322496.0,1322496.0,1492974.25,2439165.75,12146.25,True,0.7246432125314557,0.1,1658860.2777777778,1492974.25,1658860.2777777778,2815470.25,2981356.277777778
dpu_sweep,16,16,4096,256,256,4,1024,1,1,static_analyzer,task.c::main,526336.0,526336.0,1024.0,1024.0,768.0,768.0,128.0,128.0,65536.0,128.0,896.0,896.0,385363.0,643426.0,330624.0,330624.0,385363.0,631296.0,12130.0,True,0.7805331736353078,0.1,428181.1111111111,385363.0,428181.1111111111,715987.0,758805.1111111111
dpu_sweep,64,16,4096,64,64,4,1024,1,1,static_analyzer,task.c::main,131584.0,131584.0,256.0,256.0,192.0,192.0,32.0,32.0,16384.0,32.0,224.0,224.0,105686.546875,181353.0,82656.0,82656.0,105686.546875,169464.890625,11888.109375,True,0.9154381185273907,0.1,117429.49652777778,105686.546875,117429.49652777778,188342.546875,200085.49652777778
tasklet_sweep,1,1,2048,2048,2048,4,1024,8,8,static_analyzer,task.c::main,4210688.0,4210688.0,8192.0,8192.0,6144.0,6144.0,1024.0,1024.0,524288.0,1024.0,7168.0,7168.0,2974404.0,35750210.0,2644992.0,2644992.0,32718444.0,32718458.0,3031752.0,False,1.146228797667441,0.1,36353826.666666664,32718444.0,36353826.666666664,35363436.0,38998818.666666664
tasklet_sweep,1,2,2048,2048,2048,4,1024,8,4,static_analyzer,task.c::main,4210688.0,4210688.0,8192.0,8192.0,6144.0,6144.0,1024.0,1024.0,524288.0,1024.0,7168.0,7168.0,2953666.0,17767061.0,2644992.0,2644992.0,16245163.0,15010602.0,2756459.0,True,0.5753885077913279,0.1,18050181.111111112,16245163.0,18050181.111111112,18890155.0,20695173.111111112
tasklet_sweep,1,4,2048,2048,2048,4,1024,8,2,static_analyzer,task.c::main,4210688.0,4210688.0,8192.0,8192.0,6144.0,6144.0,1024.0,1024.0,524288.0,1024.0,7168.0,7168.0,2992233.0,9007335.0,2644992.0,2644992.0,8228640.75,6916544.0,2090791.0,True,0.29440325339358303,0.1,9142934.166666666,8228640.75,9142934.166666666,10873632.75,11787926.166666666
tasklet_sweep,1,8,2048,2048,2048,4,1024,8,1,static_analyzer,task.c::main,4210688.0,4210688.0,8192.0,8192.0,6144.0,6144.0,1024.0,1024.0,524288.0,1024.0,7168.0,7168.0,2993783.0,5118622.0,2644992.0,2644992.0,4116451.625,4827982.0,290640.0,True,0.37889353729614306,0.1,4573835.138888889,4116451.625,4573835.138888889,6761443.625,7218827.138888889
tasklet_sweep,1,16,2048,2048,2048,4,1024,8,1,static_analyzer,task.c::main,4210688.0,4210688.0,8192.0,8192.0,6144.0,6144.0,1024.0,1024.0,524288.0,1024.0,7168.0,7168.0,2991339.0,4906201.0,2644992.0,2644992.0,2991339.0,4894052.0,12149.0,True,0.723957577187379,0.1,3323710.0,2991339.0,3323710.0,5636331.0,5968702.0
