experiment,benchmark,num_dpus,num_tasklets,data_prep_params,dpu_input_arguments_json,instructions_mean,cycles_max,breakdown_run_sum,breakdown_dma_sum,breakdown_etc_sum,backpressure_sum,num_reads_sum,num_writes_sum,read_bytes_sum,write_bytes_sum
dpu_sweep,GEMV,1,16,4096,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000010000000100000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",5962024.0,9766074.0,5962024.0,12351.0,4837.0,3786862.0,1048576.0,2048.0,8388608.0,16384.0
dpu_sweep,GEMV,4,16,4096,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000004000000040000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""40000000400000000004000000040000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""40000000400000000004000000040000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""40000000400000000004000000040000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""}]",1492974.25,2451312.0,5971897.0,48585.0,28994.0,3755772.0,1048576.0,2048.0,8388608.0,16384.0
dpu_sweep,GEMV,16,16,4096,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""},{""execution"":0,""dpu"":4,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_4.bin""},{""execution"":0,""dpu"":5,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_5.bin""},{""execution"":0,""dpu"":6,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_6.bin""},{""execution"":0,""dpu"":7,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_7.bin""},{""execution"":0,""dpu"":8,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_8.bin""},{""execution"":0,""dpu"":9,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_9.bin""},{""execution"":0,""dpu"":10,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_10.bin""},{""execution"":0,""dpu"":11,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_11.bin""},{""execution"":0,""dpu"":12,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_12.bin""},{""execution"":0,""dpu"":13,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_13.bin""},{""execution"":0,""dpu"":14,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_14.bin""},{""execution"":0,""dpu"":15,""data_hex"":""40000000400000000001000000010000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_15.bin""}]",385363.0,643426.0,6165808.0,194080.0,157921.0,3777007.0,1048576.0,2048.0,8388608.0,16384.0
dpu_sweep,GEMV,64,16,4096,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""},{""execution"":0,""dpu"":1,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_1.bin""},{""execution"":0,""dpu"":2,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_2.bin""},{""execution"":0,""dpu"":3,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_3.bin""},{""execution"":0,""dpu"":4,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_4.bin""},{""execution"":0,""dpu"":5,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_5.bin""},{""execution"":0,""dpu"":6,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_6.bin""},{""execution"":0,""dpu"":7,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_7.bin""},{""execution"":0,""dpu"":8,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_8.bin""},{""execution"":0,""dpu"":9,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_9.bin""},{""execution"":0,""dpu"":10,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_10.bin""},{""execution"":0,""dpu"":11,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_11.bin""},{""execution"":0,""dpu"":12,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_12.bin""},{""execution"":0,""dpu"":13,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_13.bin""},{""execution"":0,""dpu"":14,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_14.bin""},{""execution"":0,""dpu"":15,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_15.bin""},{""execution"":0,""dpu"":16,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_16.bin""},{""execution"":0,""dpu"":17,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_17.bin""},{""execution"":0,""dpu"":18,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_18.bin""},{""execution"":0,""dpu"":19,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_19.bin""},{""execution"":0,""dpu"":20,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_20.bin""},{""execution"":0,""dpu"":21,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_21.bin""},{""execution"":0,""dpu"":22,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_22.bin""},{""execution"":0,""dpu"":23,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_23.bin""},{""execution"":0,""dpu"":24,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_24.bin""},{""execution"":0,""dpu"":25,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_25.bin""},{""execution"":0,""dpu"":26,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_26.bin""},{""execution"":0,""dpu"":27,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_27.bin""},{""execution"":0,""dpu"":28,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_28.bin""},{""execution"":0,""dpu"":29,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_29.bin""},{""execution"":0,""dpu"":30,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_30.bin""},{""execution"":0,""dpu"":31,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_31.bin""},{""execution"":0,""dpu"":32,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_32.bin""},{""execution"":0,""dpu"":33,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_33.bin""},{""execution"":0,""dpu"":34,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_34.bin""},{""execution"":0,""dpu"":35,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_35.bin""},{""execution"":0,""dpu"":36,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_36.bin""},{""execution"":0,""dpu"":37,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_37.bin""},{""execution"":0,""dpu"":38,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_38.bin""},{""execution"":0,""dpu"":39,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_39.bin""},{""execution"":0,""dpu"":40,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_40.bin""},{""execution"":0,""dpu"":41,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_41.bin""},{""execution"":0,""dpu"":42,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_42.bin""},{""execution"":0,""dpu"":43,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_43.bin""},{""execution"":0,""dpu"":44,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_44.bin""},{""execution"":0,""dpu"":45,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_45.bin""},{""execution"":0,""dpu"":46,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_46.bin""},{""execution"":0,""dpu"":47,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_47.bin""},{""execution"":0,""dpu"":48,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_48.bin""},{""execution"":0,""dpu"":49,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_49.bin""},{""execution"":0,""dpu"":50,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_50.bin""},{""execution"":0,""dpu"":51,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_51.bin""},{""execution"":0,""dpu"":52,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_52.bin""},{""execution"":0,""dpu"":53,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_53.bin""},{""execution"":0,""dpu"":54,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_54.bin""},{""execution"":0,""dpu"":55,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_55.bin""},{""execution"":0,""dpu"":56,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_56.bin""},{""execution"":0,""dpu"":57,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_57.bin""},{""execution"":0,""dpu"":58,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_58.bin""},{""execution"":0,""dpu"":59,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_59.bin""},{""execution"":0,""dpu"":60,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_60.bin""},{""execution"":0,""dpu"":61,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_61.bin""},{""execution"":0,""dpu"":62,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_62.bin""},{""execution"":0,""dpu"":63,""data_hex"":""40000000400000004000000040000000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_63.bin""}]",105686.546875,181353.0,6763939.0,760839.0,363851.0,3717963.0,1048576.0,2048.0,8388608.0,16384.0
tasklet_sweep,GEMV,1,1,2048,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000008000000080000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",2974404.0,35750210.0,2974404.0,3031752.0,29744054.0,0.0,524288.0,1024.0,4194304.0,8192.0
tasklet_sweep,GEMV,1,2,2048,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000008000000080000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",2953666.0,17767061.0,2953666.0,2756459.0,11947013.0,109923.0,524288.0,1024.0,4194304.0,8192.0
tasklet_sweep,GEMV,1,4,2048,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000008000000080000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",2992233.0,9007335.0,2992233.0,2090791.0,3310755.0,613556.0,524288.0,1024.0,4194304.0,8192.0
tasklet_sweep,GEMV,1,8,2048,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000008000000080000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",2993783.0,5118622.0,2993783.0,290640.0,74366.0,1759833.0,524288.0,1024.0,4194304.0,8192.0
tasklet_sweep,GEMV,1,16,2048,"[{""execution"":0,""dpu"":0,""data_hex"":""40000000400000000008000000080000"",""source"":""input_DPU_INPUT_ARGUMENTS_0_0.bin""}]",2991339.0,4906201.0,2991339.0,12149.0,6486.0,1896227.0,524288.0,1024.0,4194304.0,8192.0
