benchmark,experiment,num_dpus,num_tasklets,data_prep_params,dpu_build_options_json,setting_id,instructions_lower,instructions_upper,instructions_midpoint,exact,instruction_scope,unexpanded_callees,result_path
TS,dpu_sweep,1,16,65536,"{""BL"":8}",dpu_sweep_TS_dpu1_tasklets16_size65536,95269104,233547985,164408544.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TS_dpu1_tasklets16_size65536/result.json
TS,dpu_sweep,4,16,65536,"{""BL"":8}",dpu_sweep_TS_dpu4_tasklets16_size65536,23749104,58218961,40984032.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TS_dpu4_tasklets16_size65536/result.json
TS,dpu_sweep,16,16,65536,"{""BL"":8}",dpu_sweep_TS_dpu16_tasklets16_size65536,5869104,14386705,10127904.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TS_dpu16_tasklets16_size65536/result.json
TS,dpu_sweep,64,16,65536,"{""BL"":8}",dpu_sweep_TS_dpu64_tasklets16_size65536,1399097,3428576,2413836.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,dpu_sweep_TS_dpu64_tasklets16_size65536/result.json
TS,tasklet_sweep,1,1,2048,"{""BL"":8}",tasklet_sweep_TS_dpu1_tasklets1_size2048,2887237,7077574,4982405.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TS_dpu1_tasklets1_size2048/result.json
TS,tasklet_sweep,1,2,2048,"{""BL"":8}",tasklet_sweep_TS_dpu1_tasklets2_size2048,2887158,7077619,4982388.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TS_dpu1_tasklets2_size2048/result.json
TS,tasklet_sweep,1,4,2048,"{""BL"":8}",tasklet_sweep_TS_dpu1_tasklets4_size2048,2887436,7078149,4982792.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TS_dpu1_tasklets4_size2048/result.json
TS,tasklet_sweep,1,8,2048,"{""BL"":8}",tasklet_sweep_TS_dpu1_tasklets8_size2048,2887992,7079209,4983600.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TS_dpu1_tasklets8_size2048/result.json
TS,tasklet_sweep,1,16,2048,"{""BL"":8}",tasklet_sweep_TS_dpu1_tasklets16_size2048,2889104,7081329,4985216.5,False,maximum_per_dpu_sum_of_sequential_executions,__atomic_acquire_retry;barrier_wait,tasklet_sweep_TS_dpu1_tasklets16_size2048/result.json
