experiment,num_dpus,num_tasklets,total_elements,logical_elements_per_dpu,elements_per_dpu,element_size_bytes,block_size_bytes,blocks_per_dpu,max_blocks_per_tasklet,memory_model_source,static_kernel_functions,memory_read_bytes_lower_per_dpu,memory_read_bytes_upper_per_dpu,memory_write_bytes_lower_per_dpu,memory_write_bytes_upper_per_dpu,memory_read_transactions_lower_per_dpu,memory_read_transactions_upper_per_dpu,memory_write_transactions_lower_per_dpu,memory_write_transactions_upper_per_dpu,observed_row_reads_per_dpu,observed_row_writes_per_dpu,memory_transactions_lower_per_dpu,memory_transactions_upper_per_dpu,compute_instruction_source,compute_instruction_scope,compute_instructions_per_dpu,static_instructions_lower_per_dpu,static_instructions_upper_per_dpu,static_instructions_midpoint_per_dpu,instruction_unexpanded_callees,static_vs_simulator_instruction_midpoint_error_pct,simulator_instruction_mean_within_static_bounds,measured_instructions_per_dpu,actual_cycles,memory_model_lower_cycles,memory_model_upper_cycles,compute_issue_cycles_per_instruction,compute_cycles_lower,compute_cycles_upper,compute_cycles_conservative_upper,observed_compute_component_cycles,observed_dma_component_cycles,composed_cycles_lower,composed_cycles_upper,composed_lower_assumption,actual_within_composed_bounds,actual_composed_interval_position,compute_stall_rate
dpu_sweep,1,16,2097152,2097152,2097152,8,1024,16384,1024,static_analyzer_bounds,task.c::main_kernel1,16777216.0,16777216.0,131072.0,16777216.0,16384.0,16384.0,16384.0,16384.0,2097152.0,1064960.0,32768.0,32768.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,13156282.0,7694771.0,18617793.0,13156282.0,__atomic_acquire_retry,15.233455734869933,True,11417068.0,23893617.0,10715136.0,19038208.0,1.0,7694771.0,18617793.0,20686436.666666668,18943923.0,4949694.0,10715136.0,39724644.66666667,maximal_compute_memory_overlap,True,0.4542814272184731,0.1
dpu_sweep,4,16,2097152,524288,524288,8,1024,4096,256,static_analyzer_bounds,task.c::main_kernel1,4194304.0,4194304.0,32768.0,4194304.0,4096.0,4096.0,4096.0,4096.0,524288.0,266240.0,8192.0,8192.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,3294778.0,1924787.0,4664769.0,3294778.0,__atomic_acquire_retry,15.232488028303985,True,2859244.0,5983857.0,2678784.0,4759552.0,1.0,1924787.0,4664769.0,5183076.666666667,4744371.0,1239486.0,2678784.0,9942628.666666668,maximal_compute_memory_overlap,True,0.4550032595227118,0.1
dpu_sweep,16,16,2097152,131072,131072,8,1024,1024,64,static_analyzer_bounds,task.c::main_kernel1,1048576.0,1048576.0,8192.0,1048576.0,1024.0,1024.0,1024.0,1024.0,131072.0,66560.0,2048.0,2048.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,829402.0,482291.0,1176513.0,829402.0,__atomic_acquire_retry,15.228650658249373,True,719788.0,1506417.0,669696.0,1189888.0,1.0,482291.0,1176513.0,1307236.6666666667,1194483.0,311934.0,669696.0,2497124.666666667,maximal_compute_memory_overlap,True,0.45786794049051793,0.1
dpu_sweep,64,16,2097152,32768,32768,8,1024,256,16,static_analyzer_bounds,task.c::main_kernel1,262144.0,262144.0,2048.0,262144.0,256.0,256.0,256.0,256.0,32768.0,16640.0,512.0,512.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,213058.0,121667.0,304449.0,213058.0,__atomic_acquire_retry,15.213817568298328,True,184924.0,387057.0,167424.0,297472.0,1.0,121667.0,304449.0,338276.6666666667,307011.0,80046.0,167424.0,635748.6666666667,maximal_compute_memory_overlap,True,0.4689759383447664,0.1
tasklet_sweep,1,1,524288,524288,524288,8,1024,4096,4096,static_analyzer_bounds,task.c::main_kernel1,4194304.0,4194304.0,32768.0,4194304.0,4096.0,4096.0,4096.0,4096.0,524288.0,266240.0,8192.0,8192.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,2984019.5,1904715.0,4063324.0,2984019.5,__atomic_acquire_retry,11.216485723645983,True,2683073.0,34084948.0,2678784.0,4759552.0,11.0,20951865.0,44696564.0,49662848.88888889,29513817.0,4571131.0,23630649.0,54422400.88888889,single_tasklet_no_overlap,True,0.33951621322892,0.1
tasklet_sweep,1,2,524288,524288,524288,8,1024,4096,2048,static_analyzer_bounds,task.c::main_kernel1,4194304.0,4194304.0,32768.0,4194304.0,4096.0,4096.0,4096.0,4096.0,524288.0,266240.0,8192.0,8192.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,3036399.0,1915051.0,4157747.0,3036399.0,__atomic_acquire_retry,10.05449083652169,True,2758996.0,19487243.0,2678784.0,4759552.0,5.5,10532780.5,22867608.5,25408453.888888888,15190533.0,4296710.0,10532780.5,30168005.888888888,maximal_compute_memory_overlap,True,0.4560407289781924,0.1
tasklet_sweep,1,4,524288,524288,524288,8,1024,4096,1024,static_analyzer_bounds,task.c::main_kernel1,4194304.0,4194304.0,32768.0,4194304.0,4096.0,4096.0,4096.0,4096.0,524288.0,266240.0,8192.0,8192.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,3097780.0,1930595.0,4264965.0,3097780.0,__atomic_acquire_retry,9.73727074156915,True,2822906.0,11238514.0,2678784.0,4759552.0,2.75,5309136.25,11728653.75,13031837.5,7421120.0,3817394.0,5309136.25,17791389.5,maximal_compute_memory_overlap,True,0.4750246314702836,0.1
tasklet_sweep,1,8,524288,524288,524288,8,1024,4096,512,static_analyzer_bounds,task.c::main_kernel1,4194304.0,4194304.0,32768.0,4194304.0,4096.0,4096.0,4096.0,4096.0,524288.0,266240.0,8192.0,8192.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,3160470.0,1926355.0,4394585.0,3160470.0,__atomic_acquire_retry,11.180177974401404,True,2842656.0,7522837.0,2678784.0,4759552.0,1.375,2648738.125,6042554.375,6713949.305555555,4872971.0,2649866.0,2678784.0,11473501.305555556,maximal_compute_memory_overlap,True,0.5507912115537867,0.1
tasklet_sweep,1,16,524288,524288,524288,8,1024,4096,256,static_analyzer_bounds,task.c::main_kernel1,4194304.0,4194304.0,32768.0,4194304.0,4096.0,4096.0,4096.0,4096.0,524288.0,266240.0,8192.0,8192.0,static_analyzer_exact_setting_midpoint,maximum_per_dpu_sum_of_sequential_executions,3294778.0,1924787.0,4664769.0,3294778.0,__atomic_acquire_retry,15.232488028303985,True,2859244.0,5983857.0,2678784.0,4759552.0,1.0,1924787.0,4664769.0,5183076.666666667,4744371.0,1239486.0,2678784.0,9942628.666666668,maximal_compute_memory_overlap,True,0.4550032595227118,0.1
